== All rows (n=23) ==
  AR >= 0.80: inside=19, outside=4 (82.6% inside)
  AR >= 0.90: inside=17, outside=6 (73.9% inside)
  AR >= 0.95: inside=16, outside=7 (69.6% inside)
== Unique tasks (excl. 4-bit variant) (n=22) ==
  AR >= 0.80: inside=19, outside=3 (86.4% inside)
  AR >= 0.90: inside=17, outside=5 (77.3% inside)
  AR >= 0.95: inside=16, outside=6 (72.7% inside)
== Unique tasks, axis sum <= 5 (n=18) ==
  AR >= 0.80: inside=17, outside=1 (94.4% inside)
  AR >= 0.90: inside=16, outside=2 (88.9% inside)
  AR >= 0.95: inside=15, outside=3 (83.3% inside)
== Unique tasks, axis sum >= 6 (n=3) ==
  AR >= 0.80: inside=2, outside=1 (66.7% inside)
  AR >= 0.90: inside=1, outside=2 (33.3% inside)
  AR >= 0.95: inside=1, outside=2 (33.3% inside)
== Unique tasks, symmetric adaptation only (n=8) ==
  AR >= 0.80: inside=6, outside=2 (75.0% inside)
  AR >= 0.90: inside=5, outside=3 (62.5% inside)
  AR >= 0.95: inside=4, outside=4 (50.0% inside)
== Unique tasks, SLM-favored adaptation only (n=14) ==
  AR >= 0.80: inside=13, outside=1 (92.9% inside)
  AR >= 0.90: inside=12, outside=2 (85.7% inside)
  AR >= 0.95: inside=12, outside=2 (85.7% inside)
